iter	Passed	Remaining
487	1133	1189
488	1137	1188
489	1139	1186
490	1141	1183
491	1143	1181
492	1149	1182
493	1157	1185
494	1167	1190
495	1169	1187
496	1171	1185
497	1173	1183
498	1175	1180
499	1187	1187
500	1190	1185
501	1199	1190
502	1202	1188
503	1205	1186
504	1207	1183
505	1214	1185
506	1216	1182
507	1221	1182
508	1223	1179
509	1228	1180
510	1230	1177
511	1232	1174
512	1234	1171
513	1245	1177
514	1247	1174
515	1255	1177
516	1261	1178
517	1263	1176
518	1265	1173
519	1267	1170
520	1269	1167
521	1271	1164
522	1277	1164
523	1279	1161
524	1281	1159
525	1283	1156
526	1285	1153
527	1291	1154
528	1293	1151
529	1295	1149
530	1297	1146
531	1299	1143
532	1301	1140
533	1305	1139
534	1309	1137
535	1311	1135
536	1313	1132
537	1315	1129
538	1317	1126
539	1323	1127
540	1326	1125
541	1328	1122
542	1330	1120
543	1332	1117
544	1342	1121
545	1344	1118
546	1346	1115
547	1354	1117
548	1356	1114
549	1358	1111
550	1360	1108
551	1361	1105
552	1363	1102
553	1370	1103
554	1371	1100
555	1374	1097
556	1376	1094
557	1377	1091
558	1380	1088
559	1387	1090
560	1389	1087
561	1391	1084
562	1393	1081
563	1395	1078
564	1400	1078
565	1402	1075
566	1405	1073
567	1407	1070
568	1409	1067
569	1411	1064
570	1416	1063
571	1417	1060
572	1418	1057
573	1420	1054
574	1423	1051
575	1424	1048
576	1431	1049
577	1432	1045
578	1434	1043
579	1436	1040
580	1438	1037
581	1441	1035
582	1447	1035
583	1449	1032
584	1451	1030
585	1453	1026
586	1454	1023
587	1462	1024
588	1464	1022
589	1466	1019
590	1469	1016
591	1471	1014
592	1476	1013
593	1478	1010
594	1483	1009
595	1486	1007
596	1487	1004
597	1496	1005
598	1498	1003
599	1500	1000
600	1502	997
601	1511	999
602	1513	996
603	1515	993
604	1517	990
605	1519	987
606	1526	988
607	1528	985
608	1530	982
609	1533	980
610	1534	976
611	1538	975
612	1541	973
613	1542	969
614	1544	966
615	1545	963
616	1547	960
617	1548	957
618	1550	954
619	1554	953
620	1556	949
621	1557	946
622	1559	943
623	1560	940
624	1562	937
625	1563	934
626	1565	931
627	1569	929
628	1570	926
629	1572	923
630	1573	920
631	1575	917
632	1576	914
633	1577	910
634	1579	907
635	1585	907
636	1587	904
637	1588	901
638	1590	898
639	1591	895
640	1593	892
641	1594	889
642	1598	887
643	1599	884
644	1601	881
645	1602	878
646	1604	875
647	1605	872
648	1607	869
649	1608	866
650	1610	863
651	1613	861
652	1614	858
653	1616	855
654	1617	852
655	1619	849
656	1620	846
657	1621	843
658	1623	840
659	1627	838
660	1629	835
661	1630	832
662	1632	829
663	1633	826
664	1635	823
665	1636	820
666	1638	817
667	1642	816
668	1643	813
669	1645	810
670	1646	807
671	1648	804
672	1649	801
673	1651	798
674	1652	795
675	1657	794
676	1658	791
677	1660	788
678	1662	786
679	1664	783
680	1666	780
681	1670	779
682	1673	776
683	1674	773
684	1676	770
685	1677	767
686	1679	764
687	1680	762
688	1681	759
689	1686	757
690	1687	754
691	1689	751
692	1690	748
693	1691	745
694	1693	743
695	1694	740
696	1696	737
697	1697	734
698	1700	732
699	1701	729
700	1703	726
701	1704	723
702	1705	720
703	1707	717
704	1708	714
705	1713	713
706	1715	710
707	1717	708
708	1718	705
709	1720	702
710	1721	699
711	1723	697
712	1725	694
713	1729	692
714	1731	690
715	1733	687
716	1734	684
717	1736	681
718	1737	679
719	1739	676
720	1744	674
721	1745	672
722	1747	669
723	1749	666
724	1750	664
725	1752	661
726	1754	658
727	1760	657
728	1761	654
729	1763	652
730	1765	649
731	1767	646
732	1768	644
733	1769	641
734	1773	639
735	1775	636
736	1776	633
737	1778	631
738	1779	628
739	1781	625
740	1782	623
741	1785	620
742	1792	619
743	1793	617
744	1795	614
745	1796	611
746	1798	609
747	1799	606
748	1804	604
749	1805	601
750	1807	599
751	1808	596
752	1810	593
753	1811	590
754	1812	588
755	1814	585
756	1815	582
757	1820	581
758	1821	578
759	1823	575
760	1825	573
761	1826	570
762	1828	567
763	1829	565
764	1831	562
765	1835	560
766	1836	557
767	1838	555
768	1839	552
769	1841	549
770	1842	547
771	1844	544
772	1845	541
773	1849	540
774	1851	537
775	1852	534
776	1854	532
777	1855	529
778	1856	526
779	1857	524
780	1859	521
781	1860	518
782	1863	516
783	1865	513
784	1866	511
785	1867	508
786	1869	505
787	1870	503
788	1871	500
789	1872	497
790	1873	495
791	1874	492
792	1876	489
793	1879	487
794	1880	484
795	1881	482
796	1882	479
797	1884	476
798	1885	474
799	1886	471
800	1887	468
801	1888	466
802	1889	463
803	1893	461
804	1894	458
805	1896	456
806	1897	453
807	1898	451
808	1899	448
809	1900	445
810	1902	443
811	1903	440
812	1907	438
813	1908	436
814	1910	433
815	1911	431
816	1912	428
817	1913	425
818	1915	423
819	1916	420
820	1917	418
821	1918	415
822	1924	413
823	1926	411
824	1927	408
825	1929	406
826	1931	404
827	1932	401
828	1934	398
829	1939	397
830	1940	394
831	1942	392
832	1943	389
833	1944	387
834	1946	384
835	1948	382
836	1952	380
837	1953	377
838	1955	375
839	1956	372
840	1957	370
841	1959	367
842	1960	365
843	1962	362
844	1963	360
845	1965	357
846	1969	355
847	1970	353
848	1971	350
849	1973	348
850	1974	345
851	1976	343
852	1977	340
853	1978	338
854	1982	336
855	1984	333
856	1985	331
857	1987	328
858	1988	326
859	1989	323
860	1991	321
861	1993	319
862	1994	316
863	1998	314
864	2000	312
865	2002	309
866	2003	307
867	2005	304
868	2006	302
869	2008	300
870	2013	298
871	2015	295
872	2017	293
873	2019	291
874	2020	288
875	2022	286
876	2024	283
877	2028	281
878	2030	279
879	2032	277
880	2033	274
881	2035	272
882	2037	269
883	2038	267
884	2042	265
885	2044	263
886	2046	260
887	2048	258
888	2050	256
889	2052	253
890	2058	251
891	2060	249
892	2063	247
893	2064	244
894	2066	242
895	2068	240
896	2069	237
897	2073	235
898	2075	233
899	2076	230
900	2078	228
901	2079	225
902	2081	223
903	2082	221
904	2084	218
905	2089	216
906	2091	214
907	2092	212
908	2094	209
909	2095	207
910	2097	204
911	2098	202
912	2102	200
913	2104	198
914	2106	195
915	2107	193
916	2108	190
917	2110	188
918	2111	186
919	2113	183
920	2115	181
921	2120	179
922	2121	176
923	2123	174
924	2124	172
925	2125	169
926	2127	167
927	2128	165
928	2133	163
929	2134	160
930	2136	158
931	2137	155
932	2139	153
933	2140	151
934	2142	148
935	2143	146
936	2145	144
937	2148	141
938	2149	139
939	2151	137
940	2152	134
941	2154	132
942	2155	130
943	2157	127
944	2161	125
945	2162	123
946	2163	121
947	2165	118
948	2166	116
949	2167	114
950	2169	111
951	2170	109
952	2171	107
953	2176	104
954	2179	102
955	2180	100
956	2182	98
957	2184	95
958	2185	93
959	2186	91
960	2188	88
961	2191	86
962	2192	84
963	2193	81
964	2194	79
965	2195	77
966	2197	74
967	2198	72
968	2199	70
969	2200	68
970	2201	65
971	2204	63
972	2206	61
973	2207	58
974	2209	56
975	2210	54
976	2211	52
977	2213	49
978	2214	47
979	2216	45
980	2217	42
981	2220	40
982	2221	38
983	2222	36
984	2223	33
985	2225	31
986	2226	29
987	2227	27
988	2229	24
989	2230	22
990	2234	20
991	2236	18
992	2238	15
993	2239	13
994	2241	11
995	2242	9
996	2244	6
997	2245	4
998	2249	2
999	2251	0
